Jahr	BIP	BIP_Prozent	BN_Produkt	BN_Einkommen	Volkseinkommen	BIP_pro_Kopf	BN_Einkommen_pro_Kopf	Volkseinkommen_pro_Kopf
1925	  0	  	0	  0	 	41,60   	 34,00   	  0		1170   			 540   
1926	  0	  	0	  0	 	43,60   	 35,60   	  0		1210   	 		560   
1927	  0	  	0	  0	 	48,70   	 39,90   	  0		1350   	 		620   
1928	  0	  	0	  0	 	52,10   	 42,90   	  0		1430   	 		670   
1929	  0	  	0	  0	 	52,30   	 42,90   	  0		1430   	 		660   
1930	  0	  	0	  0	 	48,80   	 39,30   	  0		1330   	 		600   
1931	  0	  	0	  0	 	40,80   	 31,90   	  0		1100   	 		490   
1932	  0	  	0	  0	 	33,60   	 25,30   	  0		900   	 		380   
1933	  0	  	0	  0	 	34,50   	 26,10   	  0	 	920   	 		400   
1934	  0	  	0	  0	 	38,80   	 29,90   	  0		1030   			 450   
1935	  0	 	0	  0	 	43,20   	 33,70   	  0		1140   			 500   
1936	  0	  	0	  0	 	47,90   	 37,90   	  0		1260   			 560   
1937	  0	  	0	  0	 	53,80   	 42,40   	  0		1400   			 630   
1938	  0	  	0	  0		 59,20   	 47,30   	  0		1520   			 690   
1950	 218,17   	 0,0   	 49,69   	 50,41   	 40,14   	1059   		1075   			 856   
1951	 239,34   	 9,7   	 61,00   	 61,71   	 48,73   	1287   		1302   			1028   
1952	 261,68   	 9,3   	 69,75   	 70,51   	 55,35   	1461   		1477   			1160   
1953	 284,99   	 8,9   	 74,92   	 75,62   	 59,24   	1555   		1570   			1230   
1954	 307,13   	 7,8   	 80,41   	 80,84   	 63,35   	1651   		1660   			1301   
1955	 344,30   	 12,1    91,89   	 92,29   	 72,68   	1868   		1876   			1477   
1956	 370,89   	 7,7   	 101,58   	 102,00   	 80,70   	2040   		2048   			1621   
1957	 393,39   	 6,1   	 110,72   	 111,15   	 88,45   	2195   		2204   			1754   
1958	 410,93   	 4,5   	 118,95   	 119,23   	 94,73   	2330   		2335   			1855   
1959	 443,24   	 7,9   	 130,31   	 130,33   	 103,06   	2524   		2524   			1996   
1960	 481,38   	 8,6   	 146,04   	 146,23   	 116,14   	2799   		2802   			2226   
1961	 534,96   	 4,6   	 169,60   	 169,44   	 133,32   	3019   		3016   			2373   
1962	 559,92   	 4,7   	 184,46   	 184,32   	 144,24   	3245   		3243   			2538   
1963	 575,66   	 2,8   	 195,50   	 195,36   	 152,26   	3407   		3404   			2653   
1964	 614,01   	 6,7   	 214,83   	 214,54   	 167,32   	3706   		3701   			2886   
1965	 646,89   	 5,4   	 234,77   	 234,27   	 183,27   	4005   		3997   			3127   
1966	 664,94   	 2,8   	 249,63   	 249,20   	 194,18   	4220   		4213   			3283   
1967	 662,89   	-0,3   	 252,76   	 252,42   	 194,67   	4263   		4258   			3284   
1968	 699,04   	 5,5   	 272,66   	 272,88   	 213,77   	4583   		4586   			3593   
1969	 751,19   	 7,5   	 305,22   	 305,65   	 236,70   	5081   		5088   			3941   
1970	 789,03   	 5,0   	 345,28   	 345,48   	 271,19   	5693   		5696   			4471     
1971	 58,60   	 3,1   	 400,24   	 400,84   	 311,41   	6529   		6539   			5080   
1972	 61,12   	 4,3   	 436,37   	 436,62   	 339,62   	7076   		7080   			5507   
